id,record_id,reshoot_idx_id,data_type_id,state_id,Date
3907,9388850,1,1,1,23-03-2016 09:10:37:152
3909,9388851,1,1,1,23-03-2016 09:11:19:296
3911,9388852,1,1,1,23-03-2016 09:12:02:816
3913,9388853,1,1,1,23-03-2016 09:12:40:752
3915,9388854,1,1,1,23-03-2016 09:13:18:384
3917,9388855,1,1,1,23-03-2016 09:14:10:624
3919,9388856,1,1,1,23-03-2016 09:14:47:472
3921,9388857,1,1,1,23-03-2016 09:15:25:408
3923,9388858,1,1,1,23-03-2016 09:16:15:744
3925,9388859,1,1,1,23-03-2016 09:16:55:088
3927,9388860,1,1,1,23-03-2016 09:17:35:216
3929,9388861,1,1,1,23-03-2016 09:18:24:256
3933,9388863,1,1,1,23-03-2016 09:19:40:320
3935,9388864,1,1,1,23-03-2016 09:20:31:840
3937,9388865,1,1,1,23-03-2016 09:21:10:816
3939,9388866,1,1,1,23-03-2016 09:21:48:352
3941,9388867,1,1,1,23-03-2016 09:22:26:672
3943,9388868,1,1,1,23-03-2016 09:23:03:408
3945,9388937,1,1,1,23-03-2016 08:58:49:984
3947,9388939,1,1,1,23-03-2016 10:06:15:728
3949,9388940,1,1,1,23-03-2016 10:07:09:728
3951,9388941,1,1,1,23-03-2016 10:08:03:728
3953,9388942,1,1,1,23-03-2016 10:08:55:936
3955,9388971,1,1,1,23-03-2016 09:03:09:408
3957,9388972,1,1,1,23-03-2016 10:02:52:768
3959,9388973,1,1,1,23-03-2016 10:00:30:256
3961,9388974,1,1,1,23-03-2016 09:59:51:824
3963,9388975,1,1,1,23-03-2016 09:59:09:792
3965,9388976,1,1,1,23-03-2016 09:58:22:224
3967,9388977,1,1,1,23-03-2016 09:50:48:928
3969,9389014,1,1,1,23-03-2016 09:04:50:880
3971,9389015,1,1,1,23-03-2016 09:56:25:232
3973,9389016,1,1,1,23-03-2016 09:58:04:224
3975,9389017,1,1,1,23-03-2016 10:15:10:432
3977,9389018,1,1,1,23-03-2016 10:15:55:568
3979,9389019,1,1,1,23-03-2016 10:16:40:592
3981,9389020,1,1,1,23-03-2016 09:52:14:720
3983,9389065,1,1,1,23-03-2016 11:09:35:312
3985,9389066,1,1,1,23-03-2016 11:08:51:072
3987,9389067,1,1,1,23-03-2016 11:08:10:144
3989,9389068,1,1,1,23-03-2016 11:07:31:312
3991,9389069,1,1,1,23-03-2016 11:06:51:776
3993,9389070,1,1,1,23-03-2016 11:06:10:624
3995,9389071,1,1,1,23-03-2016 11:05:12:992
3997,9389072,1,1,1,23-03-2016 11:04:15:200
3999,9389073,1,1,1,23-03-2016 11:03:21:200
4003,9389075,1,1,1,23-03-2016 11:01:29:472
4005,9389076,1,1,1,23-03-2016 10:59:54:608
4007,9389077,1,1,1,23-03-2016 10:59:13:488
4009,9389078,1,1,1,23-03-2016 10:58:30:048
4011,9389079,1,1,1,23-03-2016 10:57:50:096
4013,9389080,1,1,1,23-03-2016 10:57:01:328
4015,9389081,1,1,1,23-03-2016 10:56:07:328
4017,9389082,1,1,1,23-03-2016 10:55:28:496
4019,9389083,1,1,1,23-03-2016 10:52:46:368
4021,9389084,1,1,1,23-03-2016 10:52:07:040
4023,9389085,1,1,1,23-03-2016 10:51:17:408
4025,9389086,1,1,1,23-03-2016 10:50:36:368
4027,9389087,1,1,1,23-03-2016 10:49:56:096
4029,9389088,1,1,1,23-03-2016 10:48:59:440
4031,9389089,1,1,1,23-03-2016 10:48:05:440
4033,9389090,1,1,1,23-03-2016 10:47:26:496
4035,9389091,1,1,1,23-03-2016 10:46:20:336
4037,9389092,1,1,1,23-03-2016 10:45:39:392
4039,9389093,1,1,1,23-03-2016 10:44:59:856
4041,9389094,1,1,1,23-03-2016 10:44:17:536
4043,9389095,1,1,1,23-03-2016 10:43:35:440
4045,9389096,1,1,1,23-03-2016 10:42:41:440
4049,9389097,84,1,1,23-03-2016 10:41:34:352
4051,9389098,1,1,1,23-03-2016 10:35:29:840
4053,9389099,1,1,1,23-03-2016 10:34:37:984
4055,9389100,1,1,1,23-03-2016 10:33:43:168
4057,9389101,1,1,1,23-03-2016 10:32:08:592
4059,9389102,1,1,1,23-03-2016 10:31:31:056
4061,9389103,1,1,1,23-03-2016 10:30:49:248
4063,9389104,1,1,1,23-03-2016 10:29:53:216
4065,9389105,1,1,1,23-03-2016 10:29:02:864
4067,9389106,1,1,1,23-03-2016 11:09:09:072
4069,9389107,1,1,1,23-03-2016 11:09:53:312
4071,9389108,1,1,1,23-03-2016 11:11:08:672
4073,9389109,1,1,1,23-03-2016 11:12:03:824
4075,9389110,1,1,1,23-03-2016 11:12:45:056
4077,9389111,1,1,1,23-03-2016 11:13:40:032
4079,9389112,1,1,1,23-03-2016 11:14:30:768
4083,9389114,1,1,1,23-03-2016 11:16:35:456
4085,9389115,1,1,1,23-03-2016 11:17:11:312
4087,9389116,1,1,1,23-03-2016 11:18:05:312
4089,9389117,1,1,1,23-03-2016 11:19:02:112
4091,9389118,1,1,1,23-03-2016 11:19:56:112
4093,9389119,1,1,1,23-03-2016 11:20:50:112
4095,9389120,1,1,1,23-03-2016 11:21:30:336
4097,9389121,1,1,1,23-03-2016 11:22:24:336
4099,9389122,1,1,1,23-03-2016 11:23:03:024
4101,9389123,1,1,1,23-03-2016 11:23:46:048
4103,9389124,1,1,1,23-03-2016 11:24:29:392
4105,9389244,1,1,1,23-03-2016 13:12:18:352
4107,9389245,1,1,1,23-03-2016 13:11:33:136
4109,9389246,1,1,1,23-03-2016 13:10:51:088
4111,9389247,1,1,1,23-03-2016 13:10:08:448
4113,9389248,1,1,1,23-03-2016 13:09:21:008
4115,9389249,1,1,1,23-03-2016 13:08:33:648
4117,9389250,1,1,1,23-03-2016 12:57:20:688
4119,9389251,1,1,1,23-03-2016 12:56:27:008
4121,9389252,1,1,1,23-03-2016 12:55:43:664
4123,9389253,1,1,1,23-03-2016 12:55:01:424
4125,9389254,1,1,1,23-03-2016 12:54:19:056
4127,9389255,1,1,1,23-03-2016 12:53:28:016
4129,9389256,1,1,1,23-03-2016 12:52:43:504
4131,9389257,1,1,1,23-03-2016 12:52:00:864
4137,9389260,1,1,1,23-03-2016 12:49:30:832
4139,9389261,1,1,1,23-03-2016 12:48:50:480
4141,9389262,1,1,1,23-03-2016 12:48:02:336
4143,9389263,1,1,1,23-03-2016 12:47:12:512
4145,9389264,1,1,1,23-03-2016 12:46:21:360
4147,9389265,1,1,1,23-03-2016 12:45:25:232
4149,9389266,1,1,1,23-03-2016 12:44:37:280
4151,9389267,1,1,1,23-03-2016 12:43:54:448
4153,9389268,1,1,1,23-03-2016 12:42:52:288
4155,9389269,1,1,1,23-03-2016 12:42:05:040
4157,9389270,1,1,1,23-03-2016 12:41:13:392
4159,9389271,1,1,1,23-03-2016 12:39:33:808
4161,9389272,1,1,1,23-03-2016 12:38:37:264
4163,9389273,1,1,1,23-03-2016 12:36:59:696
4165,9389274,1,1,1,23-03-2016 12:36:11:248
4167,9389275,1,1,1,23-03-2016 12:35:07:296
4169,9389276,1,1,1,23-03-2016 12:34:20:640
4171,9389277,1,1,1,23-03-2016 12:33:26:816
4173,9389278,1,1,1,23-03-2016 12:31:52:336
4175,9389279,1,1,1,23-03-2016 12:31:04:096
4177,9389280,1,1,1,23-03-2016 12:30:06:816
4179,9389281,1,1,1,23-03-2016 12:29:18:544
4181,9389282,1,1,1,23-03-2016 12:28:24:720
4183,9389283,1,1,1,23-03-2016 12:27:40:576
4185,9389284,1,1,1,23-03-2016 12:26:56:816
4187,9389285,1,1,1,23-03-2016 12:25:54:784
